Designator,Mid X,Mid Y,Rotation,Layer
A1,179.49,-116.35,0.0,bottom
Brd1,188.35,-101.5,-90.0,top
C1,195.1,-123.9,180.0,bottom
C10,127.6,-79.95,180.0,bottom
C11,131.2,-98.775,-90.0,top
C12,130.0,-104.9,-90.0,top
C13,130.4,-100.05,180.0,bottom
C14,130.4,-103.75,0.0,bottom
C15,126.35,-113.7,180.0,top
C16,119.6,-87.6,90.0,bottom
C2,170.95,-116.95,90.0,bottom
C3,139.08,-87.1,180.0,bottom
C4,149.65,-83.45,180.0,top
C5,166.6,-79.9,180.0,top
C6,124.45,-106.05,0.0,top
C7,124.45,-106.05,180.0,bottom
C8,122.45,-95.8,180.0,bottom
C9,126.35,-120.2,180.0,top
J1,108.15,-92.3,90.0,bottom
J2,112.35,-106.9,0.0,bottom
J3,167.55,-76.7,-90.0,bottom
M1,116.9,-76.9,-90.0,top
R1,179.35,-124.6,0.0,bottom
R10,159.7,-119.1,180.0,top
R11,161.75,-114.2,-90.0,top
R12,166.9,-112.75,0.0,top
R13,165.45,-116.8,-90.0,top
R14,172.7,-95.1375,-90.0,top
R15,169.0,-95.15,-90.0,top
R16,165.3,-95.15,-90.0,top
R17,161.6,-95.1875,-90.0,top
R18,193.0,-119.7,180.0,top
R19,141.4,-95.4,180.0,top
R2,179.4,-122.65,0.0,top
R20,139.74,-114.89,-90.0,top
R3,179.35,-120.95,0.0,bottom
R4,189.3375,-101.5,0.0,bottom
R5,189.35,-98.05,0.0,bottom
R6,189.45,-105.6,0.0,bottom
R7,190.9,-110.75,-90.0,bottom
R8,157.1,-112.15,180.0,top
R9,157.15,-116.0,180.0,top
S1,149.85,-89.05,180.0,top
S2,137.45,-101.45,0.0,top
S3,149.85,-101.45,0.0,top
S4,162.25,-101.45,0.0,top
S5,149.85,-113.85,0.0,top
S6,150.7,-78.75,0.0,bottom
U1,165.85,-121.65,90.0,bottom
U2,187.4,-119.45,0.0,bottom
U3,173.475,-124.525,90.0,bottom
U4,166.6,-85.25,180.0,top
U5,124.9,-101.25,180.0,top
U6,128.85,-87.6,-90.0,bottom
